ID,SYMBOL,NAME,EXCHANGE
31885,TACO,Del Taco Restaurants Inc,NASDAQ Capital Market
31886,AVAV,AeroVironment Inc,Nasdaq Global Select
31887,SPEM,SPDR Index Shares Fund Portfolio Emerging Markets,NYSE Arca
31888,IPGP,IPG Photonics Corp,Nasdaq Global Select
31889,TTOO,T2 Biosystems Inc,NASDAQ Global Market
31890,SAM,Boston Beer Company Inc,New York Stock Exchange
31891,DSX,Diana Shipping Inc,New York Stock Exchange
31892,IIPR,Innovative Industrial Properties Inc,New York Stock Exchange
31893,AMPH,Amphastar Pharmaceuticals Inc,Nasdaq Global Select
31894,CNMD,Conmed Corp,Nasdaq Global Select
31895,DOG,ProShares Short Dow30,NYSE Arca
31898,NDLS,Noodles & Co,Nasdaq Global Select
31900,VWOB,Vanguard Emerging Markets Government Bond ETF,NASDAQ Global Market
31901,ABCB,Ameris Bancorp,Nasdaq Global Select
31902,BPMP,Bp Midstream Partners LP,New York Stock Exchange
31903,PJC,Piper Jaffray Companies,New York Stock Exchange
31904,CEN,Center Coast Brookfield MLP & Energy Infrastructure Fund,New York Stock Exchange
31905,CYTK,Cytokinetics Inc,Nasdaq Global Select
31906,NTGR,NETGEAR Inc,Nasdaq Global Select
31907,ITA,iShares U.S. Aerospace & Defense,BATS Exchange
31908,FONR,Fonar Corp,NASDAQ Capital Market
31909,UNF,UniFirst Corp,New York Stock Exchange
31910,RDWR,Radware Ltd,Nasdaq Global Select
31911,JDST,Direxion Daily Junior Gold Miners Index Bear 3X Shares,NYSE Arca
31912,FTXO,First Trust Nasdaq Bank ETF,NASDAQ Global Market
31913,GIFI,Gulf Island Fabrication Inc,Nasdaq Global Select
31914,BGSF,BG Staffing Inc,NYSE American
31915,CACC,Credit Acceptance Corp,Nasdaq Global Select
31916,EMO,Clearbridge Energy Midstream Opportunity Fund Inc,New York Stock Exchange
31917,OSIS,OSI Systems Inc,Nasdaq Global Select
31918,NEP,Nextera Energy Partners LP,New York Stock Exchange
31919,EPM,Evolution Petroleum Corp,NYSE American
31920,CNA,CNA Financial Corp,New York Stock Exchange
31921,CRY,CryoLife Inc,New York Stock Exchange
31922,SRLN,SPDR Blackstone GSO Senior Loan,NYSE Arca
31923,FXY,Guggenheim CurrencyShares Japanese Yen Trust,NYSE Arca
31924,LAUR,Laureate Education Inc,Nasdaq Global Select
31925,SSD,Simpson Manufacturing Co Inc,New York Stock Exchange
31926,AMBC,Ambac Financial Group Inc,Nasdaq Global Select
31928,TSLX,Sixth Street Specialty Lending Inc,New York Stock Exchange
31931,CLUB,Town Sports International Holdings Inc,NASDAQ Global Market
31932,DON,WisdomTree U.S. MidCap Dividend Fund,NYSE Arca
31933,OXLC,Oxford Lane Capital Corp,Nasdaq Global Select
31934,PVAC,Penn Virginia Corp,Nasdaq Global Select
31935,TWM,ProShares UltraShort Russell2000,NYSE Arca
31936,OLBK,Old Line Bancshares Inc.,NASDAQ Capital Market
31937,IYF,iShares U.S. Financial,NYSE Arca
31938,TNC,Tennant Co,New York Stock Exchange
31939,EIM,Eaton Vance Municipal Bond Fund,NYSE American
31940,OZM,Och-Ziff Capital Management Group LLC Class A Shares representing Class A limited liability company interests,New York Stock Exchange
31941,PNNT,Pennantpark Investment Corp,Nasdaq Global Select
31942,AGIO,Agios Pharmaceuticals Inc,Nasdaq Global Select
31943,UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one),New York Stock Exchange
31944,CO,Global Cord Blood Corp,New York Stock Exchange
31945,VCSH,Vanguard Short-Term Corporate Bond ETF,NASDAQ Global Market
31946,TDY,Teledyne Technologies Inc,New York Stock Exchange
31947,SFE,Safeguard Scientifics Inc,New York Stock Exchange
31948,TRTX,TPG RE Finance Trust Inc,New York Stock Exchange
31949,PHYS,Sprott Physical Gold Trust ETV,NYSE Arca
31950,DFE,WisdomTree Europe SmallCap Dividend Fund,NYSE Arca
31951,RUTH,Ruth's Hospitality Group Inc,Nasdaq Global Select
31952,SRCE,1st Source Corp,Nasdaq Global Select
31953,HURN,Huron Consulting Group Inc,Nasdaq Global Select
31954,MNDO,Mind CTI Ltd,NASDAQ Global Market
31955,UGAZ,VelocityShares 3X Long Natural Gas ETN linked to the S&P GSCI Natural Gas Index Excess Return,NYSE Arca
31957,PSDO,Presidio Inc.,Nasdaq Global Select
31958,HABT,The Habit Restaurants Inc.,NASDAQ Global Market
31959,AKG,Asanko Gold Inc.,NYSE American
31960,CSS,CSS Industries Inc.,New York Stock Exchange
31961,EARS,Auris Medical Holding Ltd,NASDAQ Capital Market
31964,SRI,Stoneridge Inc,New York Stock Exchange
31965,WLDN,Willdan Group Inc,NASDAQ Global Market
31966,MEI,Methode Electronics Inc,New York Stock Exchange
31967,SBSI,Southside Bancshares Inc,Nasdaq Global Select
31968,OPTT,Ocean Power Technologies Inc,NASDAQ Capital Market
31969,WSC,Willscot Mobile Mini Holdings Corp,NASDAQ Capital Market
31970,QCRH,QCR Holdings Inc,NASDAQ Global Market
31971,HSKA,Heska Corp,NASDAQ Capital Market
31972,CVTI,Covenant Transportation Group Inc.,Nasdaq Global Select
31973,USPH,U.S. Physical Therapy Inc,New York Stock Exchange
31974,JOE,St. Joe Co,New York Stock Exchange
31975,RMR,RMR Group Inc,NASDAQ Capital Market
31976,CARA,Cara Therapeutics Inc,NASDAQ Global Market
31977,CMRX,Chimerix Inc,NASDAQ Global Market
31978,WATT,Energous Corp,NASDAQ Capital Market
31979,CEI,Camber Energy Inc,NYSE American
31980,TARO,Taro Pharmaceutical Industries Ltd,New York Stock Exchange
31981,SOXL,Direxion Daily Semiconductor Bull 3x Shares,NYSE Arca
31983,SBCF,Seacoast Banking Corporation of Florida,Nasdaq Global Select
31984,TRTN,Triton International Ltd,New York Stock Exchange
31985,NNBR,NN Inc,Nasdaq Global Select
31986,SBT,Sterling Bancorp Inc,NASDAQ Capital Market
31987,PARR,Par Pacific Holdings Inc,New York Stock Exchange
31988,MLPA,Global X MLP,NYSE Arca
31989,OSB,Norbord Inc,New York Stock Exchange
31990,SSTI,ShotSpotter Inc.,NASDAQ Capital Market
31991,ASA,ASA Gold and Precious Metals Ltd,New York Stock Exchange
31993,NNA,Navios Maritime Acquisition Corp,New York Stock Exchange
31994,PRPO,Precipio Inc,NASDAQ Capital Market
31995,SPKE,Spark Energy Inc,Nasdaq Global Select
31996,REX,REX American Resources Corp,New York Stock Exchange
31997,EXTN,Exterran Corp,New York Stock Exchange
31999,FRME,First Merchants Corp,Nasdaq Global Select
32001,CBPX,Continental Building Products Inc.,New York Stock Exchange
32002,IDCC,InterDigital Wireless Inc,Nasdaq Global Select
32003,TMV,Direxion Daily 20-Year Treasury Bear 3X,NYSE Arca
32004,TUR,iShares MSCI Turkey ETF,NASDAQ Global Market
32005,AWP,Aberdeen Global Premier Properties Fund,New York Stock Exchange
32006,ROLL,RBC Bearings Inc,Nasdaq Global Select
32007,SNNA,Sienna Biopharmaceuticals Inc.,Nasdaq Global Select
32008,NSSC,NAPCO Security Technologies Inc,Nasdaq Global Select
32009,ECH,iShares Inc. MSCI Chile,BATS Exchange
32010,NEO,Neogenomics Inc,NASDAQ Capital Market
32011,FPI,Farmland Partners Inc,New York Stock Exchange
32012,GLOB,Globant SA,New York Stock Exchange
32013,EMKR,EMCORE Corp,NASDAQ Global Market
32014,BNED,Barnes & Noble Education Inc,New York Stock Exchange
32015,FBNC,First Bancorp (North Carolina),Nasdaq Global Select
32017,DOVA,Dova Pharmaceuticals Inc.,NASDAQ Global Market
32018,SLRC,Solar Capital Ltd,Nasdaq Global Select
32020,FNCL,Fidelity MSCI Financials Index,NYSE Arca
32021,DSL,DoubleLine Income Solutions Fund,New York Stock Exchange
32022,HEWP,iShares Currency Hedged MSCI Spain,NYSE Arca
32023,ISTB,iShares Core 1-5 Year USD Bond ETF,NASDAQ Global Market
32024,MTBC,MTBC Inc,NASDAQ Capital Market
32025,NEON,Neonode Inc,NASDAQ Capital Market
32026,NXE,Nexgen Energy Ltd,NYSE American
32027,PBFX,PBF Logistics LP,New York Stock Exchange
32028,RCUS,Arcus Biosciences Inc,New York Stock Exchange
32029,AMRC,Ameresco Inc,New York Stock Exchange
32030,TOWR,Tower International Inc.,New York Stock Exchange
32031,SD,SandRidge Energy Inc,New York Stock Exchange
32032,EGLE,Eagle Bulk Shipping Inc,Nasdaq Global Select
32033,MTEM,Molecular Templates Inc,NASDAQ Capital Market
32034,EGBN,Eagle Bancorp Inc,NASDAQ Capital Market
32035,THG,Hanover Insurance Group Inc,New York Stock Exchange
32036,NOAH,Noah Holdings Ltd,New York Stock Exchange
32037,IDA,Idacorp Inc,New York Stock Exchange
32038,MED,Medifast Inc,New York Stock Exchange
32039,FRBK,Republic First Bancorp Inc,NASDAQ Global Market
32040,PEBO,Peoples Bancorp Inc,Nasdaq Global Select
32041,AMRWW,Alta Mesa Resources Inc. Warrant,NASDAQ Capital Market
32042,IWN,iShares Russell 2000 Value,NYSE Arca
32043,ODT,Odonate Therapeutics Inc,Nasdaq Global Select
32044,LOB,Live Oak Bancshares Inc,Nasdaq Global Select
32045,SHOS,Sears Hometown and Outlet Stores Inc.,NASDAQ Capital Market
32047,FMHI,First Trust Municipal High Income ETF,NASDAQ Global Market
32048,MCRI,Monarch Casino & Resort Inc,Nasdaq Global Select
32049,NSL,Nuveen Senior Income Fund,New York Stock Exchange
32050,CRNT,Ceragon Networks Ltd,Nasdaq Global Select
32051,RTEC,Rudolph Technologies Inc.,New York Stock Exchange
32052,WMK,Weis Markets Inc,New York Stock Exchange
32053,IDT,IDT Corp,New York Stock Exchange
32056,INSG,Inseego Corp,Nasdaq Global Select
32057,ROYT,Pacific Coast Oil Trust,New York Stock Exchange
32058,RTTR,Ritter Pharmaceuticals Inc.,NASDAQ Capital Market
32059,SDIV,Global X SuperDividend,NYSE Arca
32060,TNP,Tsakos Energy Navigation Ltd,New York Stock Exchange
32061,NGS,Natural Gas Services Group Inc,New York Stock Exchange
32062,CPSI,Computer Programs and Systems Inc,Nasdaq Global Select
32063,AGS,PlayAGS Inc,New York Stock Exchange
32064,SCPH,scPharmaceuticals Inc,Nasdaq Global Select
32065,GPRK,GeoPark Ltd,New York Stock Exchange
32067,CLCT,Collectors Universe Inc,NASDAQ Global Market
32068,CDXC,Chromadex Corp,NASDAQ Capital Market
32069,BBSI,Barrett Business Services Inc,Nasdaq Global Select
32070,FOR,Forestar Group Inc,New York Stock Exchange
32072,VLRS,Controladora Vuela Compania de Aviacion S.A.B. de C.V. American Depositary Shares each representing ten (10) Ordinary Participation Certificates,New York Stock Exchange
32073,ASMB,Assembly Biosciences Inc,NASDAQ Capital Market
32075,CIR,CIRCOR International Inc,New York Stock Exchange
32076,IPHS,Innophos Holdings Inc.,Nasdaq Global Select
32077,FARO,FARO Technologies Inc,Nasdaq Global Select
32078,THR,Thermon Group Holdings Inc,New York Stock Exchange
32079,LLEX,Lilis Energy Inc.,NYSE American
32080,PWV,PowerShares Dynamic LargeCap Value,NYSE Arca
32081,RNR,Renaissancere Holdings Ltd,New York Stock Exchange
32082,PICO,Pico Holdings Inc,Nasdaq Global Select
32083,CHE,Chemed Corp,New York Stock Exchange
32084,JRVR,James River Group Holdings Ltd,Nasdaq Global Select
32085,NBTB,NBT Bancorp Inc,Nasdaq Global Select
32086,CMTL,Comtech Telecommunications Corp,Nasdaq Global Select
32087,CRSP,CRISPR Therapeutics AG,NASDAQ Global Market
32088,DHX,DHI Group Inc,New York Stock Exchange
32090,EWO,iShares Inc MSCI Austria,NYSE Arca
32091,IVAC,Intevac Inc,Nasdaq Global Select
32095,KFRC,Kforce Inc,Nasdaq Global Select
32098,CDTX,Cidara Therapeutics Inc,NASDAQ Global Market
32099,CNOB,ConnectOne Bancorp Inc,Nasdaq Global Select
32100,GLAD,Gladstone Capital Corp,Nasdaq Global Select
32102,PRF,Powershares FTSE RAFI US 1000 Portfolio,NYSE Arca
32103,UFCS,United Fire Group Inc,Nasdaq Global Select
32104,CCMP,Cabot Microelectronics Corp,Nasdaq Global Select
32105,TRS,TriMas Corp,Nasdaq Global Select
32106,NSP,Insperity Inc,New York Stock Exchange
32108,DFRG,Del Frisco's Restaurant Group Inc.,Nasdaq Global Select
32109,NZF,Nuveen Municipal Credit Income Fund,New York Stock Exchange
32110,MEIP,MEI Pharma Inc,NASDAQ Capital Market
32111,CLNE,Clean Energy Fuels Corp,Nasdaq Global Select
32114,OMEX,Odyssey Marine Exploration Inc,NASDAQ Capital Market
32115,CBU,Community Bank System Inc,New York Stock Exchange
32116,XENT,Intersect Ent Inc,NASDAQ Global Market
32122,TCON,TRACON Pharmaceuticals Inc,NASDAQ Global Market
32123,VKI,Invesco Advantage Municipal Income Trust II,NYSE American
32124,NX,Quanex Building Products Corp,New York Stock Exchange
32125,STRA,Strategic Education Inc,Nasdaq Global Select
32126,EWZS,iShares MSCI Brazil Small-Cap ETF,NASDAQ Global Market
32127,JAKK,JAKKS Pacific Inc,Nasdaq Global Select
32128,NERV,Minerva Neurosciences Inc,NASDAQ Global Market
32129,RECN,Resources Connection Inc.,Nasdaq Global Select
32130,EARN,Ellington Residential Mortgage REIT,New York Stock Exchange
32131,ATNX,Athenex Inc,Nasdaq Global Select
32132,NYMX,Nymox Pharmaceutical Corp,NASDAQ Capital Market
32133,ALNA,Allena Pharmaceuticals Inc,Nasdaq Global Select
32134,AVX,AVX Corporation,New York Stock Exchange
32135,MYO,Myomo Inc,NYSE American
32136,FCSC,Fibrocell Science Inc,NASDAQ Capital Market
32137,PDFS,PDF Solutions Inc,Nasdaq Global Select
32138,MVIS,MicroVision Inc,NASDAQ Global Market
32139,TBK,Triumph Bancorp Inc,Nasdaq Global Select
32140,DWX,SPDR S&P International Dividend,NYSE Arca
32141,PFSI,PennyMac Financial Services Inc,New York Stock Exchange
32142,DSE,Duff & Phelps Select Mlp and Midstream Energy Fund Inc,New York Stock Exchange
32143,AQN,Algonquin Power & Utilities Corp,New York Stock Exchange
32145,CHIQ,Global X China Consumer,NYSE Arca
32146,FIBK,First Interstate BancSystem Inc,Nasdaq Global Select
32147,DEUS,Xtrackers Russell 1000 Comprehensive Factor,NYSE Arca
32148,EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc,New York Stock Exchange
32149,FEI,First Trust MLP and Energy Income Fund,New York Stock Exchange
32150,GPX,GP Strategies Corp,New York Stock Exchange
32151,MARK,Remark Holdings Inc,NASDAQ Capital Market
32153,OPTN,OptiNose Inc,Nasdaq Global Select
32155,TLH,iShares 10-20 Year Treasury Bond,NYSE Arca
32156,VOC,VOC Energy Trust,New York Stock Exchange
32158,SRV,Cushing MLP & Infrastructure Total Return Fund,New York Stock Exchange
32159,ETO,Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund,New York Stock Exchange
32160,FCG,First Trust Natural Gas,NYSE Arca
32161,CRCM,Care.com Inc.,New York Stock Exchange
32162,BLCM,Bellicum Pharmaceuticals Inc,NASDAQ Global Market
32163,FFIN,First Financial Bankshares Inc,Nasdaq Global Select
32164,RGNX,Regenxbio Inc,Nasdaq Global Select
32165,APPF,AppFolio Inc,NASDAQ Global Market
32166,KE,Kimball Electronics Inc,Nasdaq Global Select
32167,ASR,Grupo Aeroportuario del Sureste S.A. de C.V.,New York Stock Exchange
32169,MBRX,Moleculin Biotech Inc,NASDAQ Capital Market
32170,AFMD,Affimed NV,NASDAQ Global Market
32171,ASYS,Amtech Systems Inc,Nasdaq Global Select
32172,APEI,American Public Education Inc,Nasdaq Global Select
32174,PSB,PS Business Parks Inc,New York Stock Exchange
32175,GORO,Gold Resource Corp,NYSE American
32176,MN,Manning & Napier Inc,New York Stock Exchange
32178,AFI,Armstrong Flooring Inc,New York Stock Exchange
32179,TECL,Direxion Technology Bull 3X Shares,NYSE Arca
32180,VICR,Vicor Corp,Nasdaq Global Select
32181,MORN,Morningstar Inc,Nasdaq Global Select
32182,EIGR,Eiger BioPharmaceuticals Inc,NASDAQ Global Market
32183,ATRC,AtriCure Inc,NASDAQ Global Market
32184,EMLP,First Trust North American Energy Infrastructure Fund,NYSE Arca
32185,ICD,Independence Contract Drilling Inc,New York Stock Exchange
32186,CW,Curtiss-Wright Corp,New York Stock Exchange
32187,IWR,iShares Russell Mid-Cap,NYSE Arca
32188,APLS,Apellis Pharmaceuticals Inc,Nasdaq Global Select
32189,CFO,VictoryShares US 500 Enhanced Volatility Wtd ETF,NASDAQ Global Market
32190,ILTB,iShares Core 10 Year USD Bond,NYSE Arca
32191,ALE,ALLETE Inc,New York Stock Exchange
32192,Y,Alleghany Corp,New York Stock Exchange
32193,HZN,Horizon Global Corp,New York Stock Exchange
32194,UEIC,Universal Electronics Inc,Nasdaq Global Select
32195,KOL,VanEck Vectors Coal,NYSE Arca
32196,AFH,Atlas Financial Holdings Inc,NASDAQ Global Market
32197,AQ,Aquantia Corp.,New York Stock Exchange
32198,AUTO,Autoweb Inc,NASDAQ Capital Market
32199,CKPT,Checkpoint Therapeutics Inc,NASDAQ Capital Market
32200,HTBI,Hometrust Bancshares Inc,Nasdaq Global Select
32201,IDN,Intellicheck Inc,NYSE American
32202,KOF,Coca Cola Femsa S.A.B. de C.V.,New York Stock Exchange
32203,LYTS,LSI Industries Inc,Nasdaq Global Select
32204,PHI,PLDT Inc. Sponsored ADR,New York Stock Exchange
32205,RIF,RMR Real Estate Income Fund,NYSE American
32206,SPHB,PowerShares S&P 500 High Beta Portfolio,NYSE Arca
32207,CTR,Clearbridge MLP and Midstream Total Return Fund Inc,New York Stock Exchange
32209,MFL,Blackrock Muniholdings Investment Quality Fund,New York Stock Exchange
32210,YINN,Direxion Daily FTSE China Bull 3x Shares,NYSE Arca
32211,ORA,Ormat Technologies Inc,New York Stock Exchange
32212,CMPR,Cimpress PLC,Nasdaq Global Select
32213,ESTE,Earthstone Energy Inc,New York Stock Exchange
32214,SHM,SPDR Nuveen Bloomberg Barclays Short Term Municipal Bond,NYSE Arca
32217,SRDX,Surmodics Inc,Nasdaq Global Select
32218,OCUL,Ocular Therapeutix Inc,NASDAQ Global Market
32219,WSBC,WesBanco Inc,Nasdaq Global Select
32221,PFBC,Preferred Bank,Nasdaq Global Select
32222,CARG,CarGurus Inc,Nasdaq Global Select
32223,EMAN,eMagin Corp,NYSE American
32224,EPZM,Epizyme Inc,Nasdaq Global Select
32225,WMC,Western Asset Mortgage Capital Corp,New York Stock Exchange
32226,TAN,Guggenheim Solar,NYSE Arca
32227,LX,Lexinfintech Holdings Ltd,NASDAQ Global Market
32228,AIMC,Altra Industrial Motion Corp,Nasdaq Global Select
32229,MFNC,Mackinac Financial Corp,NASDAQ Capital Market
32230,AUO,AU Optronics Corp American Depositary Shares,New York Stock Exchange
32231,ADRO,Aduro Biotech Inc,Nasdaq Global Select
32235,LEJU,Leju Holdings Ltd,New York Stock Exchange
32236,SCHH,Schwab U.S. REIT,NYSE Arca
32237,SIVR,ETFS Physical Silver Shares Trust,NYSE Arca
32238,NCZ,Allianzgi Convertible & Income Fund II,New York Stock Exchange
32239,UTF,Cohen & Steers Infrastructure Fund Inc,New York Stock Exchange
32240,IBND,SPDR Bloomberg Barclays International Corporate Bond,NYSE Arca
32243,HMTV,Hemisphere Media Group Inc,NASDAQ Global Market
32244,PAC,Grupo Aeroportuario Del Pacifico S.A. B. de C.V. de C.V. (each representing 10 Series B shares),New York Stock Exchange
32246,CTEK,CynergisTek Inc,NYSE American
32247,ABIL,Ability Inc.,NASDAQ Capital Market
32248,IWS,iShares Russell Mid-cap Value,NYSE Arca
32249,PLX,Protalix Biotherapeutics Inc,NYSE American
32250,IEI,iShares 3-7 Year Treasury Bond ETF,NASDAQ Global Market
32251,NVEE,NV5 Global Inc,NASDAQ Capital Market
32252,ATRO,Astronics Corp,Nasdaq Global Select
32253,CFRX,ContraFect Corp,NASDAQ Capital Market
32254,AZZ,AZZ Inc,New York Stock Exchange
32255,SJT,San Juan Basin Royalty Trust,New York Stock Exchange
32256,DX,Dynex Capital Inc,New York Stock Exchange
32257,IO,ION Geophysical Corp,New York Stock Exchange
32258,VO,Vanguard Mid-Cap,NYSE Arca
32259,IWV,iShares Russell 3000,NYSE Arca
32261,BLX,Banco Latinoamericano de Comercio Exterior SA,New York Stock Exchange
32262,ENSG,Ensign Group Inc,Nasdaq Global Select
32265,TOCA,Tocagen Inc.,Nasdaq Global Select
32266,CYBE,CyberOptics Corp,NASDAQ Global Market
32267,EFC,Ellington Financial Inc,New York Stock Exchange
32268,ACP,Aberdeen Income Credit Strategies Fund,New York Stock Exchange
32269,AMTX,Aemetis Inc,NASDAQ Global Market
32270,ICL,Icl Group Ltd,New York Stock Exchange
32271,MIE,Cohen & Steers MLP Income & Energy Opportunity Fund,New York Stock Exchange
32273,NHF,NexPoint Strategic Opportunities Fund,New York Stock Exchange
32274,PHD,Pioneer Floating Rate Trust,New York Stock Exchange
32275,RWLK,Rewalk Robotics Ltd,NASDAQ Capital Market
32276,INB,Cohen & Steers Global Income Builder Inc. of Beneficial Interest,New York Stock Exchange
32277,NBEV,New Age Beverages Corp,NASDAQ Capital Market
32278,TDTT,FlexShares iBoxx 3 Year Target Duration TIPS Index Fund,NYSE Arca
32279,ECOL,US Ecology Inc,Nasdaq Global Select
32280,SMHI,SEACOR Marine Holdings Inc,New York Stock Exchange
32281,SHEN,Shenandoah Telecommunications Co,Nasdaq Global Select
32282,AVH,Avianca Holdings S.A. American Depositary Shares (Each representing 8 preferred Shares),New York Stock Exchange
32283,TOO,Teekay Offshore Partners L.P. representing Limited Partner Interests,New York Stock Exchange
32284,ITI,Iteris Inc,NASDAQ Capital Market
32285,ROX,Castle Brands Inc.,NYSE American
32286,GV,Goldfield Corp,NYSE American
32287,HNI,HNI Corp,New York Stock Exchange
32288,LPTX,Leap Therapeutics Inc,NASDAQ Global Market
32289,NEU,NewMarket Corp,New York Stock Exchange
32291,FSS,Federal Signal Corp,New York Stock Exchange
32292,IWP,iShares Russell Midcap Growth,NYSE Arca
32293,HCI,Hci Group Inc,New York Stock Exchange
32294,IFMK,iFresh Inc,NASDAQ Capital Market
32295,NXRT,NexPoint Residential Trust Inc,New York Stock Exchange
32297,FRPH,FRP Holdings Inc,Nasdaq Global Select
32298,GUSH,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 3X Shares,NYSE Arca
32299,HOS,Hornbeck Offshore Services,New York Stock Exchange
32300,ISD,PGIM High Yield Bond Fund Inc,New York Stock Exchange
32301,IWY,iShares Russell Top 200 Growth,NYSE Arca
32302,JASN,Jason Industries Inc.,NASDAQ Capital Market
32303,MRIN,Marin Software Inc,New York Stock Exchange
32305,NUM,Nuveen Michigan Quality Income Municipal Fund Inc,New York Stock Exchange
32307,PHT,Pioneer High Income Trust,New York Stock Exchange
32309,PRTS,US Auto Parts Network Inc,Nasdaq Global Select
32310,RLH,Red Lion Hotels Corp,New York Stock Exchange
32311,TYG,Tortoise Energy Infrastructure Corp,New York Stock Exchange
32312,VBTX,Veritex Holdings Inc,NASDAQ Global Market
32314,UWT,VelocityShares 3x Long Crude Oil ETNs linked to the S&P GSCI Crude Oil Index ER,NYSE Arca
32315,FRO,Frontline Ltd,New York Stock Exchange
32316,HY,Hyster-Yale Materials Handling Inc,New York Stock Exchange
32317,BCPC,Balchem Corp,Nasdaq Global Select
32318,CLH,Clean Harbors Inc,New York Stock Exchange
32319,USNA,USANA Health Sciences Inc,New York Stock Exchange
32320,OTTR,Otter Tail Corp,Nasdaq Global Select
32322,CTO,CTO Realty Growth Inc,NYSE American
32323,VBIV,VBI Vaccines Inc,NASDAQ Capital Market
32324,BIZD,VanEck Vectors BDC Income,NYSE Arca
32325,EPHE,iShares MSCI Philippines,NYSE Arca
32326,TBPH,Theravance Biopharma Inc,NASDAQ Global Market
32327,WPP,WPP plc American Depositary Shares,New York Stock Exchange
32329,PAHC,Phibro Animal Health Corp,NASDAQ Global Market
32330,QUIK,QuickLogic Corp,NASDAQ Global Market
32331,FNDX,Schwab Fundamental U.S. Large Company Index,NYSE Arca
32333,ALDX,Aldeyra Therapeutics Inc,NASDAQ Capital Market
32334,AMU,ETRACS Alerian MLP Index ETN,NYSE Arca
32336,CKH,SEACOR Holdings Inc,New York Stock Exchange
32337,IFN,India Fund Inc,New York Stock Exchange
32338,OBE,Obsidian Energy Ltd.,New York Stock Exchange
32339,ONTX,Onconova Therapeutics Inc,NASDAQ Capital Market
32340,RST,Rosetta Stone Inc,New York Stock Exchange
32341,RYE,Guggenheim S&P 500 Equal Weight Energy,NYSE Arca
32342,TLI,Western Asset Corporate Loan Fund Inc,New York Stock Exchange
32343,TREC,Trecora Resources,New York Stock Exchange
32344,WWR,Westwater Resources Inc,NASDAQ Capital Market
32345,MATX,Matson Inc,New York Stock Exchange
32346,ANGL,VanEck Vectors Fallen Angel High Yield Bond,NYSE Arca
32347,HCKT,Hackett Group Inc,Nasdaq Global Select
32348,BOMN,Boston Omaha Corp,NASDAQ Capital Market
32349,WSBF,Waterstone Financial Inc,Nasdaq Global Select
32350,PKE,Park Aerospace Corp,New York Stock Exchange
32351,JRS,Nuveen Real Estate Income Fund,New York Stock Exchange
32352,FFG,FBL Financial Group Inc,New York Stock Exchange
32353,MAXR,Maxar Technologies Inc,New York Stock Exchange
32354,JAGX,Jaguar Health Inc,NASDAQ Capital Market
32355,CSII,Cardiovascular Systems Inc,Nasdaq Global Select
32356,OXM,Oxford Industries Inc,New York Stock Exchange
32358,FXP,ProShares Ultrashort FTSE China 50,NYSE Arca
32359,PFLT,PennantPark Floating Rate Capital Ltd,Nasdaq Global Select
32360,CMT,Core Molding Technologies Inc,NYSE American
32361,ALGT,Allegiant Travel Co,Nasdaq Global Select
32362,MFIN,Medallion Financial Corp,Nasdaq Global Select
32363,PKD,Parker Drilling Company,New York Stock Exchange
32364,QYLD,Horizons NASDAQ-100 Covered Call ETF,NASDAQ Global Market
32365,LABU,Direxion Daily S&P Biotech Bull 3X Shares,NYSE Arca
32366,FNHC,Fednat Holding Co,NASDAQ Global Market
32367,ASV,ASV Holdings Inc.,NASDAQ Capital Market
32370,FSV,FirstService Corp,Nasdaq Global Select
32371,JDD,Nuveen Diversified Dividend and Income Fund,New York Stock Exchange
32373,PFXF,VanEck Vectors Preferred Securities ex Financials,NYSE Arca
32374,RDI,Reading International Inc,NASDAQ Capital Market
32375,RTIX,RTI Surgical Inc.,Nasdaq Global Select
32376,SCON,Superconductor Technologies Inc,NASDAQ Capital Market
32377,SMLP,Summit Midstream Partners LP,New York Stock Exchange
32379,HTBK,Heritage Commerce Corp,Nasdaq Global Select
32380,CLXT,Calyxt Inc,NASDAQ Global Market
32381,KNSL,Kinsale Capital Group Inc,Nasdaq Global Select
32382,DDM,ProShares Ultra Dow30,NYSE Arca
32383,METC,Ramaco Resources Inc,Nasdaq Global Select
32384,STIP,iShares 0-5 Year TIPS Bond,NYSE Arca
32385,NEOG,Neogen Corp,Nasdaq Global Select
32386,GTY,Getty Realty Corp,New York Stock Exchange
32387,WTS,Watts Water Technologies Inc,New York Stock Exchange
32389,HMST,HomeStreet Inc,Nasdaq Global Select
32391,CPL,CPFL Energia S.A. American Depositary Shares,New York Stock Exchange
32392,GNMX,Aevi Genomic Medicine Inc.,NASDAQ Global Market
32393,ECOM,ChannelAdvisor Corp,New York Stock Exchange
32394,CEO,CNOOC Limited,New York Stock Exchange
32395,GALT,Galectin Therapeutics Inc,NASDAQ Capital Market
32396,BBW,Build-A-Bear Workshop Inc,New York Stock Exchange
32397,IMKTA,Ingles Markets Inc,Nasdaq Global Select
32398,SPSM,SPDR Portfolio Small Cap,NYSE Arca
32400,RAIL,FreightCar America Inc,Nasdaq Global Select
32401,KSA,iShares Trust MSCI Saudi Arabia,NYSE Arca
32402,INPX,Inpixon,NASDAQ Capital Market
