ID,SYMBOL,NAME,EXCHANGE
28782,DVN,Devon Energy Corp,New York Stock Exchange
28783,BKLN,PowerShares Exchange-Traded Fund Trust,NYSE Arca
28784,IBN,ICICI Bank Limited,New York Stock Exchange
28785,MPC,Marathon Petroleum Corp,New York Stock Exchange
28787,PM,Philip Morris International Inc,New York Stock Exchange
28788,MSCI,MSCI Inc,New York Stock Exchange
28789,RDN,Radian Group Inc,New York Stock Exchange
28790,KO,Coca-Cola Co,New York Stock Exchange
28791,AABA,Altaba Inc.,Nasdaq Global Select
28792,SRC,Spirit Realty Capital Inc,New York Stock Exchange
28794,COP,ConocoPhillips,New York Stock Exchange
28795,CHK,Chesapeake Energy Corporation,New York Stock Exchange
28796,DIS,Walt Disney Co,New York Stock Exchange
28797,LEN,Lennar Corp,New York Stock Exchange
28798,CVX,Chevron Corp,New York Stock Exchange
28799,PYPL,PayPal Holdings Inc,Nasdaq Global Select
28800,GDXJ,VanEck Vectors Junior Gold Miners,NYSE Arca
28801,CTRP,Ctrip.com International Ltd.,Nasdaq Global Select
28802,AUY,Yamana Gold Inc,New York Stock Exchange
28803,DBEF,Xtrackers MSCI EAFE Hedged Equity,NYSE Arca
28804,WMT,Walmart Inc,New York Stock Exchange
28805,CLF,Cleveland-Cliffs Inc,New York Stock Exchange
28806,MRK,Merck & Co Inc,New York Stock Exchange
28807,MDLZ,Mondelez International Inc,Nasdaq Global Select
28810,MGM,MGM Resorts International,New York Stock Exchange
28811,GFI,Gold Fields Limited American Depositary Shares,New York Stock Exchange
28812,KGC,Kinross Gold Corp,New York Stock Exchange
28813,SCHW,Charles Schwab Corp,New York Stock Exchange
28814,NBR,Nabors Industries Ltd,New York Stock Exchange
28815,SRCI,SRC Energy Inc.,NYSE American
28816,JAG,Jagged Peak Energy Inc.,New York Stock Exchange
28817,NVDA,NVIDIA Corp,Nasdaq Global Select
28818,JNJ,Johnson & Johnson,New York Stock Exchange
28819,WDC,Western Digital Corp,Nasdaq Global Select
28820,BSX,Boston Scientific Corp,New York Stock Exchange
28821,STI,SunTrust Banks Inc.,New York Stock Exchange
28822,ON,ON Semiconductor Corp,Nasdaq Global Select
28823,ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),New York Stock Exchange
28824,BK,Bank of New York Mellon Corp,New York Stock Exchange
28825,HMY,Harmony Gold Mining Company Limited,New York Stock Exchange
28826,APA,Apache Corp,New York Stock Exchange
28827,HOME,At Home Group Inc,New York Stock Exchange
28828,NGD,New Gold Inc,NYSE American
28829,KOS,Kosmos Energy Ltd,New York Stock Exchange
28830,DAL,Delta Air Lines Inc,New York Stock Exchange
28831,INFY,Infosys Limited American Depositary Shares,New York Stock Exchange
28832,CCL,Carnival Corp,New York Stock Exchange
28833,BHGE,Baker Hughes a GE company Class A,New York Stock Exchange
28834,MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh,New York Stock Exchange
28835,PBR,Petroleo Brasileiro S.A.- Petrobras,New York Stock Exchange
28836,DISCA,Discovery Inc,Nasdaq Global Select
28837,LPI,Laredo Petroleum Inc,New York Stock Exchange
28838,ABT,Abbott Laboratories,New York Stock Exchange
28839,FITB,Fifth Third Bancorp,Nasdaq Global Select
28840,PTEN,Patterson-UTI Energy Inc,Nasdaq Global Select
28841,USB,U.S. Bancorp,New York Stock Exchange
28842,BA,Boeing Co,New York Stock Exchange
28843,GGB,Gerdau S.A.,New York Stock Exchange
28844,JBLU,JetBlue Airways Corp,Nasdaq Global Select
28845,QEP,QEP Resources Inc,New York Stock Exchange
28846,EBAY,eBay Inc,Nasdaq Global Select
28847,HBAN,Huntington Bancshares Inc,Nasdaq Global Select
28848,DB,Deutsche Bank AG,New York Stock Exchange
28849,MRVL,Marvell Technology Group Ltd,Nasdaq Global Select
28851,WBA,Walgreens Boots Alliance Inc,Nasdaq Global Select
28852,CDNA,CareDx Inc,NASDAQ Global Market
28854,RSX,VanEck Vectors Russia,NYSE Arca
28855,KNX,Knight-Swift Transportation Holdings Inc,New York Stock Exchange
28856,KBH,KB Home,New York Stock Exchange
28857,DISCK,Discovery Communications Inc.,Nasdaq Global Select
28858,PGR,Progressive Corp,New York Stock Exchange
28859,XLE,SPDR Select Sector Fund - Energy Select Sector,NYSE Arca
28860,MO,Altria Group Inc,New York Stock Exchange
28861,MDT,Medtronic PLC,New York Stock Exchange
28862,RIG,Transocean Ltd,New York Stock Exchange
28863,BCS,Barclays PLC,New York Stock Exchange
28864,CDEV,Centennial Resource Development Inc,NASDAQ Capital Market
28865,DNR,Denbury Resources Inc,New York Stock Exchange
28866,EOG,EOG Resources Inc,New York Stock Exchange
28867,XLP,SPDR Select Sector Fund - Consumer Staples,NYSE Arca
28868,HPE,Hewlett Packard Enterprise Co,New York Stock Exchange
28869,TXN,Texas Instruments Inc,Nasdaq Global Select
28870,OAS,Oasis Petroleum Inc,New York Stock Exchange
28871,OKE,ONEOK Inc,New York Stock Exchange
28872,CVS,CVS Health Corp,New York Stock Exchange
28873,SVXY,ProShares Short VIX Short Term Futures,NYSE Arca
28874,HES,Hess Corp,New York Stock Exchange
28875,GDDY,GoDaddy Inc,New York Stock Exchange
28876,BX,Blackstone Group Inc,New York Stock Exchange
28877,NLSN,Nielsen Holdings PLC,New York Stock Exchange
28878,TS,Tenaris S.A. American Depositary Shares,New York Stock Exchange
28879,BOX,Box Inc,New York Stock Exchange
28880,OXY,Occidental Petroleum Corp,New York Stock Exchange
28882,CVE,Cenovus Energy Inc,New York Stock Exchange
28883,SYF,Synchrony Financial,New York Stock Exchange
28884,IAU,ishares Gold Trust,NYSE Arca
28885,MTG,MGIC Investment Corp,New York Stock Exchange
28886,LUV,Southwest Airlines Co,New York Stock Exchange
28887,FTI,TechnipFMC PLC,New York Stock Exchange
28888,AA,Alcoa Corp,New York Stock Exchange
28889,ABEV,Ambev S.A. American Depositary Shares (Each representing 1),New York Stock Exchange
28890,VTI,Vanguard Total Stock Market,NYSE Arca
28891,EQR,Equity Residential,New York Stock Exchange
28892,EWG,iShares MSCI Germany Index Fund,NYSE Arca
28894,MDR,McDermott International Inc.,New York Stock Exchange
28895,ETSY,ETSY Inc,Nasdaq Global Select
28897,TAL,TAL Education Group,New York Stock Exchange
28898,UNH,UnitedHealth Group Inc,New York Stock Exchange
28899,ECA,Encana Corporation,New York Stock Exchange
28900,GES,Guess? Inc,New York Stock Exchange
28901,AMZN,Amazon.com Inc,Nasdaq Global Select
28902,NFLX,Netflix Inc,Nasdaq Global Select
28903,ENTG,Entegris Inc,Nasdaq Global Select
28904,CSX,CSX Corp,Nasdaq Global Select
28905,WYNN,Wynn Resorts Ltd,Nasdaq Global Select
28906,FOX,Twenty-First Century Fox Inc.,Nasdaq Global Select
28907,CNC,Centene Corp,New York Stock Exchange
28908,ZION,Zions Bancorporation NA,Nasdaq Global Select
28909,CLDR,Cloudera Inc,New York Stock Exchange
28910,RES,RPC Inc,New York Stock Exchange
28911,CI,Cigna Corp,New York Stock Exchange
28912,KRE,SPDR S&P Regional Banking,NYSE Arca
28913,WMB,Williams Companies Inc,New York Stock Exchange
28914,SYNH,Syneos Health Inc,Nasdaq Global Select
28915,HBI,HanesBrands Inc,New York Stock Exchange
28916,BBT,BB&T Corporation,New York Stock Exchange
28918,PAYX,Paychex Inc,Nasdaq Global Select
28919,CELG,Celgene Corporation,Nasdaq Global Select
28920,D,Dominion Energy Inc,New York Stock Exchange
28921,CHS,Chico's FAS Inc,New York Stock Exchange
28922,CFG,Citizens Financial Group Inc,New York Stock Exchange
28923,XLI,SPDR Select Sector Fund - Industrial,NYSE Arca
28924,SU,Suncor Energy Inc,New York Stock Exchange
28925,SLV,iShares Silver Trust,NYSE Arca
28926,MMM,3M Co,New York Stock Exchange
28927,BIIB,Biogen Inc,Nasdaq Global Select
28928,JBL,Jabil Inc,New York Stock Exchange
28929,ACN,Accenture PLC,New York Stock Exchange
28930,NTR,Nutrien Ltd,New York Stock Exchange
28932,BRFS,BRF S.A.,New York Stock Exchange
