OPEN_PRICE,CLOSE_PRICE,VOLUME,YEAR,SYMBOL
193.326325396825,193.446324603175,104724339.285714285714,2016,SPY
57.628595256917,57.624764822134,3187592.490118577075,1997,SPY
89.203519047619,89.155545634921,61146744.444444444444,2005,SPY
230.611290438247,230.663203984064,70457158.167330677291,2017,SPY
93.239768253968,93.272309126984,209692210.317460317460,2010,SPY
97.857575793651,97.669763492063,7664991.269841269841,2000,SPY
142.909461904762,143.004145238095,121538802.380952380952,2013,SPY
413.946648067039,413.995922189944,72559298.687150837989,2021,SPY
43.463196456693,43.469286614173,902811.811023622047,1996,SPY
98.476225498008,98.505230278884,70041163.745019920319,2006,SPY
28.489206746032,28.474326984127,402239.682539682540,1994,SPY
34.354316269841,34.406588888889,313794.841269841270,1995,SPY
95.306004347826,95.159958893281,300240444.268774703557,2008,SPY
320.593489486486,320.604610563707,98770376.104247104247,2020,SPY
82.722687500000,82.726145564516,13793258.064516129032,2001,SPY
82.102411507937,82.120625396825,42835263.095238095238,2004,SPY
113.081313944223,113.027290039841,156628316.733067729084,2007,SPY
69.903438492063,69.839509126984,33795506.746031746032,2002,SPY
68.971803174603,69.040413888889,40885770.238095238095,2003,SPY
284.743657142857,284.885480555556,70032141.666666666667,2019,SPY
27.357805555556,27.348991025641,221208.547008547009,1993,SPY
263.564480876494,263.368942629482,97164470.916334661355,2018,SPY
76.000741666667,76.063241269841,246279832.142857142857,2009,SPY
105.716648412698,105.701767460317,218219975.793650793651,2011,SPY
117.435913200000,117.485273600000,143330936.800000000000,2012,SPY
186.399225396825,186.392121825397,123620206.746031746032,2015,SPY
90.014650396825,89.918173412698,7238961.904761904762,1999,SPY
72.627321825397,72.626020634921,7433581.746031746032,1998,SPY
171.287334126984,171.305348015873,109802982.539682539683,2014,SPY
80.684999994382,80.646235988764,7152444.353932584270,2021,XLB
42.515954365079,42.513335317460,6027451.587301587302,2014,XLB
13.156228571429,13.187485714286,1542.857142857143,1998,XLB
55.337049800797,55.277886454183,7464160.557768924303,2018,XLB
29.542179282869,29.517238645418,6500360.956175298805,2007,XLB
21.208561507937,21.206974206349,9762183.730158730159,2009,XLB
14.177254365079,14.179000000000,411596.428571428571,2002,XLB
30.249510714286,30.216653571429,14131330.158730158730,2011,XLB
51.366920717131,51.377557768924,4291111.155378486056,2017,XLB
23.477009561753,23.475536254980,3496128.685258964143,2006,XLB
14.604274206349,14.610384920635,461276.984126984127,2003,XLB
13.281517460317,13.243073015873,93928.174603174603,2000,XLB
15.115637698413,15.115018650794,71110.714285714286,1999,XLB
18.528839682540,18.532688888889,1075613.095238095238,2004,XLB
27.837935177866,27.796156916996,13216803.557312252964,2008,XLB
30.391075200000,30.404874800000,8667594.000000000000,2012,XLB
42.412630952381,42.417153968254,5556947.619047619048,2015,XLB
42.497687698413,42.517925396825,6023150.396825396825,2016,XLB
55.392001587302,55.427319444444,6371786.507936507937,2019,XLB
20.345390079365,20.332573015873,2111137.698412698413,2005,XLB
59.424645459144,59.428984167315,7402479.933852140078,2020,XLB
35.346167460317,35.363588095238,6362838.888888888889,2013,XLB
13.940715322581,13.950285887097,96302.822580645161,2001,XLB
26.421513095238,26.430521428571,11741126.984126984127,2010,XLB
36.616405158730,36.624975793651,24937522.619047619048,2009,XLE
16.562953571429,16.566734126984,174887.698412698413,1999,XLE
19.244550806452,19.213365322581,411454.435483870968,2001,XLE
16.126486904762,16.101170238095,341711.507936507937,2002,XLE
31.309157936508,31.297809920635,14543363.492063492063,2005,XLE
49.640028140449,49.634999966292,31774695.814606741573,2021,XLE
15.790852380952,15.795335317460,423033.333333333333,2003,XLE
21.635980555556,21.631694841270,1973660.714285714286,2004,XLE
71.732246825397,71.698277777778,15533056.746031746032,2014,XLE
56.878807142857,56.866863492063,14080102.777777777778,2019,XLE
19.180813888889,19.180133333333,346776.190476190476,2000,XLE
38.806810358566,38.819758964143,23096399.203187250996,2006,XLE
14.558214285714,14.522485714286,23657.142857142857,1998,XLE
58.845795219124,58.811571314741,13712170.916334661355,2017,XLE
63.807531075697,63.728925498008,16112165.737051792829,2018,XLE
53.990334400000,53.993535600000,13079910.000000000000,2012,XLE
49.834147826087,49.741182213439,35073628.458498023715,2008,XLE
54.005959523810,53.988021825397,21287241.666666666667,2011,XLE
58.940280555556,58.916670634921,19005212.301587301587,2015,XLE
37.972354294574,37.859912829457,30369564.073643410853,2020,XLE
42.455432539683,42.488249603175,18282107.936507936508,2010,XLE
63.345308730159,63.379635317460,10447198.412698412698,2013,XLE
55.534007936508,55.600238095238,18314640.873015873016,2016,XLE
47.701901593625,47.735684860558,22606196.015936254980,2007,XLE
15.662000000000,15.668635059761,9685166.932270916335,2006,XLF
12.592506746032,12.593761904762,44577845.238095238095,2014,XLF
23.365344621514,23.360762948207,63588667.729083665339,2017,XLF
11.366008064516,11.375991129032,943783.467741935484,2001,XLF
10.417091666667,10.407743650794,2826615.476190476190,2002,XLF
10.708636904762,10.712990079365,2658251.984126984127,2003,XLF
16.710612749004,16.672030278884,52850843.426294820717,2007,XLF
13.662749206349,13.656105158730,44332572.619047619048,2015,XLF
7.696644444444,7.684619444444,112689006.349206349206,2011,XLF
10.531084126984,10.550931349206,645155.158730158730,2000,XLF
10.081255952381,10.058639682540,284106.746031746032,1999,XLF
13.614322222222,13.590693253968,8953237.698412698413,2005,XLF
14.976559126984,14.994846825397,65571765.476190476190,2016,XLF
26.327098406375,26.299807968127,62135559.760956175299,2018,XLF
26.734480952381,26.763885317460,48892130.555555555556,2019,XLF
